"Family ID","Father Alive","Mother Alive","Father's Education","Mother's Education","Father's Job","Mother's Job","Marital Status","Family Income","Number of Family Members",Gender,"School Type",Stage,Grade,"Tutoring Support","Social Activities","Chronic Disease","First Semester Average","Second Semester Average","Difference (Semester 2 - Semester 1)","Daily Smart Device Usage","Other Influencing Factors","Additional Suggestions","Response Language","Submission Date"
108,Yes,Yes,Secondary,Bachelor's,Employed,Unemployed,Married,"More than 1000 BHD",6,Female,Government,Primary,Fifth,Yes,Yes,No,95.50,99.10,3.60,"3 - 5 hours",لا,لا,Arabic,"2026-07-13 18:32:50"
109,Yes,Yes,Bachelor's,Bachelor's,Employed,Unemployed,Married,"700 – 1000 BHD",2,Male,Government,Primary,First,Yes,Yes,No,100.00,100.00,0.00,"1 - 3 hours",,,Arabic,"2026-07-13 18:34:05"
110,Yes,Yes,Bachelor's,Bachelor's,Employed,Unemployed,Married,"More than 1000 BHD",4,Male,Government,Secondary,Second,Yes,Yes,No,64.50,74.50,10.00,"1 - 3 hours","المشتتات من برامج تلفزيونية وألعاب إلكترونية ومقاطع في وسائل التواصل",,Arabic,"2026-07-13 18:58:16"
110,Yes,Yes,Bachelor's,Bachelor's,Employed,Unemployed,Married,"More than 1000 BHD",4,Male,Government,Intermediate,First,Yes,No,No,93.00,96.50,3.50,"1 - 3 hours","المشتتات من برامج تلفزيونية وألعاب إلكترونية ومقاطع في وسائل التواصل",,Arabic,"2026-07-13 18:58:16"
110,Yes,Yes,Bachelor's,Bachelor's,Employed,Unemployed,Married,"More than 1000 BHD",4,Female,Government,Primary,First,No,Yes,No,98.00,99.50,1.50,"1 - 3 hours","المشتتات من برامج تلفزيونية وألعاب إلكترونية ومقاطع في وسائل التواصل",,Arabic,"2026-07-13 18:58:16"
111,Yes,Yes,Bachelor's,Bachelor's,Employed,Employed,Married,"More than 1000 BHD",2,Male,Government,Primary,Sixth,Yes,Yes,No,100.00,99.00,-1.00,"3 - 5 hours",,,Arabic,"2026-07-13 19:09:10"
111,Yes,Yes,Bachelor's,Bachelor's,Employed,Employed,Married,"More than 1000 BHD",2,Female,Government,Primary,Second,Yes,No,No,100.00,100.00,0.00,"3 - 5 hours",,,Arabic,"2026-07-13 19:09:10"
112,Yes,Yes,PhD,Bachelor's,Employed,Unemployed,Married,"More than 1000 BHD",3,Male,Government,Primary,Fourth,No,Yes,No,95.00,98.00,3.00,"1 - 3 hours","عوامل تربوية وعوامل تنظيمية وعوامل تحفيزية",-,Arabic,"2026-07-13 19:47:26"
113,Yes,Yes,Bachelor's,Secondary,Employed,Unemployed,Married,"700 – 1000 BHD",4,Male,Government,Primary,Sixth,No,Yes,No,98.80,99.40,0.60,"Less than an hour","عدم عمل الوالده ودعم الاولاد تعليميا يساهم بشكل كبير في رفع المشستوى التغليمي",,Arabic,"2026-07-13 20:00:08"
113,Yes,Yes,Bachelor's,Secondary,Employed,Unemployed,Married,"700 – 1000 BHD",4,Female,Government,Primary,Second,No,Yes,No,99.00,99.80,0.80,"Less than an hour","عدم عمل الوالده ودعم الاولاد تعليميا يساهم بشكل كبير في رفع المشستوى التغليمي",,Arabic,"2026-07-13 20:00:08"
114,Yes,Yes,Diploma,Bachelor's,Employed,Employed,Married,"More than 1000 BHD",5,Female,Government,Primary,Third,Yes,Yes,Yes,91.00,98.00,7.00,"Less than an hour",لا,,Arabic,"2026-07-13 20:39:08"
114,Yes,Yes,Diploma,Bachelor's,Employed,Employed,Married,"More than 1000 BHD",5,Female,Government,Primary,Fifth,Yes,Yes,Yes,99.00,100.00,1.00,"Less than an hour",لا,,Arabic,"2026-07-13 20:39:08"
