"Family ID","Father Alive","Mother Alive","Father's Education","Mother's Education","Father's Job","Mother's Job","Marital Status","Family Income","Number of Family Members",Gender,"School Type",Stage,Grade,"Tutoring Support","Social Activities","Chronic Disease","First Semester Average","Second Semester Average","Difference (Semester 2 - Semester 1)","Daily Smart Device Usage","Other Influencing Factors","Additional Suggestions","Response Language","Submission Date"
90,Yes,Yes,Diploma,Bachelor's,Employed,Unemployed,Married,"700 – 1000 BHD",4,Female,Government,Primary,Fourth,No,Yes,No,91.00,95.00,4.00,"3 - 5 hours","الاحداث العامة مثل الاوبية و الحروب",,Arabic,"2026-07-13 17:14:42"
91,Yes,Yes,Master's,Bachelor's,Self-employed,Retired,Married,"More than 1000 BHD",5,Female,Government,Primary,Second,Yes,Yes,No,100.00,100.00,0.00,"1 - 3 hours",,,Arabic,"2026-07-13 17:15:55"
91,Yes,Yes,Master's,Bachelor's,Self-employed,Retired,Married,"More than 1000 BHD",5,Male,Government,Intermediate,Third,No,Yes,No,99.80,99.80,0.00,"3 - 5 hours",,,Arabic,"2026-07-13 17:15:55"
92,No,Yes,Bachelor's,Bachelor's,Employed,Employed,Widow,"More than 1000 BHD",5,Female,Government,Secondary,Third,Yes,Yes,No,90.00,90.00,0.00,"3 - 5 hours",,,Arabic,"2026-07-13 17:16:02"
92,No,Yes,Bachelor's,Bachelor's,Employed,Employed,Widow,"More than 1000 BHD",5,Male,Government,Secondary,Second,No,Yes,No,95.00,97.00,2.00,"3 - 5 hours",,,Arabic,"2026-07-13 17:16:02"
92,No,Yes,Bachelor's,Bachelor's,Employed,Employed,Widow,"More than 1000 BHD",5,Male,Government,Intermediate,First,No,Yes,No,97.00,98.00,1.00,"3 - 5 hours",,,Arabic,"2026-07-13 17:16:02"
93,Yes,Yes,Master's,Bachelor's,Employed,Employed,Married,"More than 1000 BHD",2,Female,Government,Primary,Fifth,Yes,Yes,Yes,99.00,99.00,0.00,"Less than an hour","اسلوب الدعايات ووسائل التواصل",,Arabic,"2026-07-13 17:16:42"
93,Yes,Yes,Master's,Bachelor's,Employed,Employed,Married,"More than 1000 BHD",2,Male,Government,Primary,First,No,Yes,No,99.00,99.00,0.00,"Less than an hour","اسلوب الدعايات ووسائل التواصل",,Arabic,"2026-07-13 17:16:42"
94,Yes,Yes,Bachelor's,Bachelor's,Employed,Employed,Married,"700 – 1000 BHD",2,Male,Government,Primary,Third,No,Yes,No,95.00,94.00,-1.00,"1 - 3 hours","التأثر بالطلاب الآخرين",,Arabic,"2026-07-13 17:18:23"
94,Yes,Yes,Bachelor's,Bachelor's,Employed,Employed,Married,"700 – 1000 BHD",2,Female,Government,Primary,First,No,No,No,95.00,95.00,0.00,"1 - 3 hours","التأثر بالطلاب الآخرين",,Arabic,"2026-07-13 17:18:23"
